code,symbol,issuer,fund_manager,fund_type,establishment_date,listed_date,stop_date,de_listed_date,benchmark
000130,大成景兴A,大成基金管理有限公司,孙丹 王立 ,Bond,2013-06-04,2013-06-04,0000-00-00,0000-00-00,100.0％×中债-综合指数
000131,大成景兴C,大成基金管理有限公司,孙丹 王立 ,Bond,2013-06-04,2013-06-04,0000-00-00,0000-00-00,100.0％×中债-综合指数
000132,中银21债A,中银基金管理有限公司,,Bond,2013-12-19,2013-12-19,2016-07-19,2016-07-19,100.0％×七天通知存款利率(税后)
000133,中银21债B,中银基金管理有限公司,,Bond,2013-12-19,2013-12-19,2016-07-19,2016-07-19,100.0％×七天通知存款利率(税后)
000134,信诚28日盈A,中信保诚基金管理有限公司,王国强 吴胤希 ,Bond,2017-05-25,2017-05-25,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
000135,信诚28日盈B,中信保诚基金管理有限公司,王国强 吴胤希 ,Bond,2017-05-25,2017-05-25,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
000136,民生策略,民生加银基金管理有限公司,孙伟 ,Hybrid,2013-06-07,2013-06-07,0000-00-00,0000-00-00,60.0％×沪深300指数+40.0％×中债-国债总指数-全价指数
000137,民生岁岁增利A,民生加银基金管理有限公司,胡振仓 ,Bond,2013-08-01,2013-08-01,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)
000138,民生岁岁增利C,民生加银基金管理有限公司,胡振仓 ,Bond,2013-08-01,2013-08-01,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)
000139,富国企业债A/B,富国基金管理有限公司,王颀亮 张波 ,Bond,2013-09-25,2013-09-25,0000-00-00,0000-00-00,100.0％×中证信用债指数
000141,富国企业债C,富国基金管理有限公司,王颀亮 张波 ,Bond,2013-09-25,2013-09-25,0000-00-00,0000-00-00,100.0％×中证信用债指数
000142,融通增强A,融通基金管理有限公司,王超 余志勇 ,Bond,2019-07-16,2019-07-16,0000-00-00,0000-00-00,100.0％×中债-综合指数-全价指数
000143,鹏华加利,鹏华基金管理有限公司,王石千 ,Bond,2013-05-27,2013-05-27,0000-00-00,0000-00-00,100.0％×三年定期存款利率(税后)加2%
000145,长盛季季红A,长盛基金管理有限公司,,Bond,2013-06-14,2013-06-14,2015-07-28,2015-07-28,100.0％×一年定期存款利率(税后)
000146,长盛季季红C,长盛基金管理有限公司,,Bond,2013-06-14,2013-06-14,2015-07-28,2015-07-28,100.0％×一年定期存款利率(税后)
000147,易方达高等债A,易方达基金管理有限公司,胡剑 林森 ,Bond,2013-08-23,2013-08-23,0000-00-00,0000-00-00,100.0％×中债-高信用等级债券指数
000148,易方达高等债C,易方达基金管理有限公司,胡剑 林森 ,Bond,2013-08-23,2013-08-23,0000-00-00,0000-00-00,100.0％×中债-高信用等级债券指数
000149,华安双债A,华安基金管理有限公司,贺涛 朱才敏 ,Bond,2013-06-14,2013-06-14,0000-00-00,0000-00-00,20.0％×中债-国债总指数+40.0％×中债-企业债总指数+40.0％×天相指数转债指数
000150,华安双债C,华安基金管理有限公司,贺涛 朱才敏 ,Bond,2013-06-14,2013-06-14,0000-00-00,0000-00-00,20.0％×中债-国债总指数+40.0％×中债-企业债总指数+40.0％×天相指数转债指数
000151,诺安信用债,诺安基金管理有限公司,,Bond,2013-06-18,2013-06-18,2018-08-21,2018-08-21,40.0％×中证国债指数+60.0％×中证企业债指数
000152,大成景旭A,大成基金管理有限公司,陈会荣 方孝成 ,Bond,2013-07-23,2013-07-23,0000-00-00,0000-00-00,100.0％×中债-综合指数
000153,大成景旭C,大成基金管理有限公司,陈会荣 方孝成 ,Bond,2013-07-23,2013-07-23,0000-00-00,0000-00-00,100.0％×中债-综合指数
000165,国投策略,国投瑞银基金管理有限公司,吉莉 颜文浩 ,Hybrid,2013-09-27,2013-09-27,0000-00-00,0000-00-00,45.0％×中债-总指数+55.0％×沪深300指数
000166,中海信息产业,中海基金管理有限公司,刘俊 ,Hybrid,2019-05-15,2019-05-15,0000-00-00,0000-00-00,20.0％×中证全债指数+80.0％×中证TMT产业主题指数
000167,广发聚优A,广发基金管理有限公司,张东一 ,Hybrid,2013-09-11,2013-09-11,0000-00-00,0000-00-00,50.0％×沪深300指数+50.0％×中证全债指数
000169,泰达收益A,泰达宏利基金管理有限公司,,Bond,2015-09-09,2015-09-09,2017-10-12,2017-10-12,100.0％×一年定期存款利率(税后)的1.25倍
000170,泰达收益B,泰达宏利基金管理有限公司,,Bond,2015-09-09,2015-09-09,2017-10-12,2017-10-12,100.0％×一年定期存款利率(税后)的1.25倍
000171,易方达裕丰,易方达基金管理有限公司,张清华 张雅君 ,Bond,2013-08-23,2013-08-23,0000-00-00,0000-00-00,100.0％×三年定期存款利率(税后)加1.5%
000172,华泰增强A,华泰柏瑞基金管理有限公司,田汉卿 ,Hybrid,2013-08-02,2013-08-02,0000-00-00,0000-00-00,95.0％×沪深300指数+2.5％
000173,汇添富美丽,汇添富基金管理股份有限公司,王栩 ,Hybrid,2013-06-25,2013-06-25,0000-00-00,0000-00-00,80.0％×沪深300指数+20.0％×中证全债指数
000174,汇添富高息债A,汇添富基金管理股份有限公司,徐光 ,Bond,2013-06-27,2013-06-27,0000-00-00,0000-00-00,100.0％×中债-综合指数
000175,汇添富高息债C,汇添富基金管理股份有限公司,徐光 ,Bond,2013-06-27,2013-06-27,0000-00-00,0000-00-00,100.0％×中债-综合指数
000176,嘉实300研究,嘉实基金管理有限公司,龙昌伦 ,Stock,2014-12-26,2014-12-26,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×沪深300指数
000177,嘉实丰益A,嘉实基金管理有限公司,,Bond,2013-08-21,2013-08-21,2018-12-27,2018-12-27,100.0％×一年定期存款收益率(税后)加1.1%
000178,博时灵活A,博时基金管理有限公司,,Hybrid,2013-11-08,2013-11-08,2018-01-23,2018-01-23,40.0％×中债-总指数+60.0％×沪深300指数
000179,广发美国,广发基金管理有限公司,刘杰 ,QDII,2013-08-09,2013-08-09,0000-00-00,0000-00-00,100.0％×人民币计价的MSCI美国REIT净总收益指数
000180,广发美国美元,广发基金管理有限公司,刘杰 ,QDII,2013-08-09,2013-08-09,0000-00-00,0000-00-00,100.0％×人民币计价的MSCI美国REIT净总收益指数
000181,景顺金利A,景顺长城基金管理有限公司,袁媛 ,Bond,2015-06-10,2015-06-10,0000-00-00,0000-00-00,100.0％×中证综合债券指数
000182,景顺金利C,景顺长城基金管理有限公司,袁媛 ,Bond,2015-06-10,2015-06-10,0000-00-00,0000-00-00,100.0％×中证综合债券指数
000183,嘉实丰益策略,嘉实基金管理有限公司,胡永青 曲扬 ,Bond,2013-07-30,2013-07-30,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)加0.5%
000184,工银添福A,工银瑞信基金管理有限公司,李昱 张洋 ,Bond,2013-10-31,2013-10-31,0000-00-00,0000-00-00,100.0％×三年定期存款利率(税后)加1.5%
000185,工银添福B,工银瑞信基金管理有限公司,李昱 张洋 ,Bond,2013-10-31,2013-10-31,0000-00-00,0000-00-00,100.0％×三年定期存款利率(税后)加1.5%
000186,华泰季季红,华泰柏瑞基金管理有限公司,罗远航 ,Bond,2013-11-13,2013-11-13,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)加1%
000187,华泰丰盛A,华泰柏瑞基金管理有限公司,陈东 何子建 ,Bond,2013-09-02,2013-09-02,0000-00-00,0000-00-00,100.0％×中债-综合指数-全价指数
000188,华泰丰盛C,华泰柏瑞基金管理有限公司,陈东 何子建 ,Bond,2013-09-02,2013-09-02,0000-00-00,0000-00-00,100.0％×中债-综合指数-全价指数
000189,易方达丰华A,易方达基金管理有限公司,张清华 ,Bond,2019-02-19,2019-02-19,0000-00-00,0000-00-00,90.0％×中债-总指数+10.0％×沪深300指数
000190,中银新回报,中银基金管理有限公司,李建 ,Hybrid,2015-07-17,2015-07-17,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+50.0％×沪深300指数+45.0％×中债-综合指数
000191,富国信用债A/B,富国基金管理有限公司,黄纪亮 ,Bond,2013-06-25,2013-06-25,0000-00-00,0000-00-00,100.0％×中债-企业债总指数-全价指数
000192,富国信用债C,富国基金管理有限公司,黄纪亮 ,Bond,2013-06-25,2013-06-25,0000-00-00,0000-00-00,100.0％×中债-企业债总指数-全价指数
